,Mg,Al,Si,P,S,K,Ca,Mn,Fe,Ti,V,Cr,Co,Ni,Cu,Zn,Sr,Rb,As,Zr,Br,Ba,Ce,Pb,Th,U
118.0,8878.351842672,29776.301037006,210384.42268316,767.6473431040001,3283.9115560200007,6394.063882941,67456.563406728,298.41229321752,15972.571033215998,2898.6269672217004,0.0,20.064007754356,0.0,12.856400937323999,10.116053765950301,31.507667525571996,467.8526531616,24.274850448986,2.0787821221972,156.24490090806,20.685343057875,307.29388441457996,32.72748277315,6.6913104616456005,2.0011583973039997,1.1546278941366
127.0,11148.735581008,36084.457870444,166690.19441986,993.4147110400002,3656.931995138,6736.957487253,84557.75066940801,421.33858663956005,22487.358951551996,4054.8075260121004,0.0,30.664944924300002,0.0,21.296038105313997,13.993585333572002,38.88363906443,516.56610936768,27.225341610035997,4.75543801166,197.72302188042,28.05596754195,287.32658484305995,55.35059237619999,7.4912641948620005,3.430691657331,1.8057251855682
130.0,10109.124612352001,30854.197935446995,162601.69282663998,948.931638784,4284.918125562,6090.982520490001,90561.85217624,352.66574930276,19274.257531904,3681.4691242615004,0.0,26.048553097352,0.0,17.615649753702,11.155005009272502,33.271646251633996,565.02701128512,25.142545240626998,3.6136670190114,230.3080630389,23.992053166425,295.7428408928,33.263258596149996,7.184063772275599,3.719936569247,0.0
138.0,11084.378857616,33633.763372803995,162139.3041194,1024.3297747200002,4500.001403619,6274.908541062,89507.25603272,352.1934816294,21028.187655872,3803.1705279711,0.0,33.085636914415,0.0,21.741934746672,13.431953625823,37.325097612324,532.4934714432001,28.099980618622,3.124875837023,188.8671867246,31.971895561229996,298.34393247252996,45.905943314,7.0184215762191995,3.563409184567,2.0792567317626
147.0,11518.917434895999,32416.524576994994,162794.79824620002,1161.732803712,3987.9106167490004,6797.467929609,96622.21932791999,354.44940172888005,20023.10032736,3424.2886268019,0.0,35.563788432602,0.0,21.68832747564,14.295553720624001,39.102499101613994,509.72591252928004,27.482750067865,4.014066767164,207.27403569557998,27.6353948663,306.62894290356996,43.702495951399996,7.628720851626,3.528936447351,1.8069968976462
150.0,10998.893318879998,32300.970788605002,147853.31248644,1120.2627232,4246.021346526,6809.030621126999,96506.06096304,334.62569593804,21787.721906688,3685.1671859717003,0.0,31.335260080003,6.7337366700305,22.251405931398,13.557051382583003,42.55794490944599,524.4474761856,28.347195418896998,4.3645524211864,205.13286583668,31.889646103405,292.29476235911,48.16972611055,8.250952695636,2.399281067065,1.1040990952212
160.0,11123.237035791999,35848.12409876299,160251.97275842002,535.28438272,4056.447044099,7475.93671482,88519.41597208001,344.31980426056,22565.652639808,4136.3879724596,14.762359573649999,47.260676053162,0.0,23.943128855436,14.512764221138001,41.155222390081995,468.72919458432,29.030344831738,3.7072140731958,220.66233697421998,17.97690689198,326.40079341702,54.540584537449995,6.48010715877,3.5534595384079997,1.8012732876216
170.0,13642.24939208,39423.09304649699,139196.74587254,1407.631434496,4445.703974651,12116.420184959998,109281.07364840001,486.0855462684,30803.228368064,3537.3889825560004,31.845533731830002,52.104466543771,13.415951138975,40.46154283911599,23.942702772435002,76.51279440582799,445.02729904128,45.846139920814,3.5889235942301996,127.35522054900001,30.210803032404996,306.67164646286,78.43263917335,11.6374826756216,5.545420021282999,3.4121919599352
180.0,7692.370127439999,21410.220583570997,245686.63372354003,649.3054341120002,3623.3639465260003,5423.918954768999,61642.49155795201,150.8287980366,7826.47111712,1953.3076852861002,0.0,11.719926644873,0.0,4.9848247835946,4.7278544736554,16.097747412698,483.91544238144,18.790677786915,1.5558363544382,135.96133782294,18.526619854065,306.02072571952,40.88536316975,5.525638938531601,2.206783725502,0.884470738671
194.0,8263.323990879999,22076.294319196,215878.60948924004,807.1573236480001,4100.029816979,5508.6163856640005,74523.742402488,177.27993782184,9077.835421759999,2378.1565741076006,0.0,14.473892118528001,0.0,7.3981817997822,5.821013377219501,18.28301178847,530.313626976,19.409220759234,1.1961062020038,188.70298664472,17.26249858073,298.86234886479997,31.107338064549996,5.7715142571688,1.8549448203999999,1.4121513681444002
200.0,6858.026600624,17885.975997396,248902.46869531999,651.3408887040001,3929.1084136070003,5322.230704790999,66395.60129716,143.32670627508,6223.910789312001,2268.4888055115002,0.0,14.262964055090999,0.0,3.505291251084,3.7910787325619,13.357009168706,546.7917761855999,16.60833507243,1.0251625115514,157.5918619029,17.86057608987,265.48477151405996,45.51313509985,5.1971406474372,1.973952353959,1.02217256271
210.0,8571.661693471999,21270.305493009,225090.00842754,607.721118336,4091.7241554409998,4425.189955326,67051.47794409601,168.33286209792,8378.73306592,3207.7231041713003,0.0,29.395203615952997,0.0,5.7513549467304,5.260087708546701,16.362065069481996,533.47123476288,19.19050632631,0.6625282111728,169.3131878412,21.262637095269998,289.88724379076,47.26699147664999,6.104928867833601,1.848848512053,0.0
217.0,7168.513122064,17506.419908845997,243472.51153054,653.9701806080001,3468.1108343580004,4841.165725641,68965.11683732,144.03736728540002,6199.669043904,2298.0874281079,0.0,18.594811145713003,0.0,1.9705075068294,3.4179272789630004,13.562372315624,562.37747872512,16.443547160793,1.1356503482362001,168.52993218287997,14.72252096329,269.15559973456,33.38639611835,5.0337096521516,1.5018474795280001,0.0
229.0,9681.098445808,23645.876185456,200574.56371214002,922.1523426560001,3656.7913698909997,5395.581297225,83471.238627328,211.18562930567998,10593.20387136,2965.2639622606002,0.0,18.585770196353003,0.0,7.750694033321399,7.622501968694701,22.664134645593997,547.1951625292801,19.778963762136,2.7598123175414,260.81058543426,21.71745211798,286.41554246928,42.029129815199994,6.4857325209852,1.020519979518,0.0
234.0,11538.529585471999,29017.358844952996,154153.57883694,1130.5579728640002,3623.0128752470005,6272.452726218,98027.30646608,313.19883617208,15103.614830464,3191.8622642335004,0.0,22.532951152347998,0.0,15.674030510039998,10.837067173227801,34.198942654229995,538.5356168179201,25.090791566942997,1.88741212741,175.92717234258,24.891134215484996,311.15754522517,41.1568295633,7.072147495800801,2.847314539713,1.1147197942296
