depth,Mg,Al,Si,P,S,K,Ca,Mn,Fe,Ti,V,Cr,Co,Ni,Cu,Zn,Sr,Rb,As,Zr,Br,Ba,Ce,Pb,Th,U
50,15554.78654,72783.32253,199940.9402,671.4014687,6238.131667,10773.77699,14204.62197,928.6305642,65533.42451,8696.838695,107.5734097,95.17179916,38.6261159,74.74594029,48.48815536,187.3195426,190.4576253,61.91638764,8.352585678,204.8081835,71.50563262,226.0879905,90.92056705,10.35491859,7.275944191,5.188330207
60,14895.83456,75149.53707,203830.1445,728.3378734,5882.118202,10877.39905,15572.21975,939.0802244,66135.2685,8768.355872,120.5748175,95.23154424,35.69071545,73.85888681,46.5960856,123.1445495,197.8360459,63.41168848,8.005265112,204.5928177,69.52067146,201.42357,113.1308513,10.53762418,7.215510189,1.14014935
68,15875.49553,75885.97263,210045.2291,741.605323,6092.296857,10816.99048,15947.2411,976.244015,66778.09205,9488.635867,99.99158144,101.122321,39.58522295,70.32253525,48.7622098,142.7467193,183.9919172,62.1930871,6.997166815,219.8361015,68.65738482,228.3967972,72.00771626,11.0204138,7.101214763,2.631182515
70,15853.6563,76681.41754,206898.9067,745.6639967,6021.547045,11143.9626,15277.00132,1017.526372,66499.92833,8785.692317,114.7081863,96.93546685,45.03490054,74.44168594,49.28133326,103.5734786,191.970324,63.23850688,8.998499261,203.862745,68.33785401,202.8021549,87.54531007,11.55299344,6.319961912,2.378597438
80,14724.52109,72328.43449,200478.9388,738.3245352,7064.50829,9983.383191,18283.06561,970.8858543,65635.95779,8753.036145,106.353272,89.74827463,36.41547347,73.95855959,45.87649815,101.0863712,202.0715666,60.90689868,7.766183179,209.6912065,63.43940618,244.9777779,90.24910102,10.3646956,6.2419915,2.545749516
90,13705.6728,68512.89503,186537.7647,721.2641654,5952.056927,9284.548245,20641.61019,893.4356346,62742.78682,8008.945678,91.86236645,74.65190741,42.02401408,69.30566333,41.89444866,98.54958526,222.3264498,59.23461074,8.872547463,204.6173419,60.75373813,245.7389381,93.38007438,10.78432661,6.828176555,5.3112658
99,14428.70645,71698.03965,193795.3304,723.2056795,5059.89652,9412.817624,17054.24018,1012.813947,63676.68863,8576.366013,94.9808744,82.70164612,36.00556816,68.10900397,42.98753511,103.3842255,208.9212173,62.16338106,7.9860813,205.904918,68.46585009,220.2927956,79.43082318,10.60096947,6.183321595,2.298131638
100,13138.13733,61797.67267,184122.3949,526.3235935,6183.843152,10722.11463,32054.49587,956.8901525,59558.07917,8098.363467,124.3018788,94.44009352,32.14086808,60.6185949,38.32881283,88.08589225,278.3549022,57.06798809,9.535056692,206.3899661,30.93421792,236.3406233,78.02002022,9.623940459,4.444257861,0.862270826
101,12714.38606,59624.2432,175628.504,679.3055337,6651.700763,8851.525778,29812.38484,875.8084907,57759.22073,7589.811694,49.81266751,48.17661915,32.86502506,60.9457355,38.02167409,87.3674479,288.2463738,55.38764114,7.354834229,197.254679,65.4563492,222.3925274,87.29159848,10.74089387,4.579733384,0.845300124
110,7316.574106,21618.15028,250065.191,745.2836945,2923.909271,6511.899365,66725.43613,151.3999554,6689.123024,1703.106631,0,15.62860986,0,2.817549369,4.332606028,32.81513339,443.9923125,23.09053541,1.173387187,126.7584718,14.40727393,379.2832129,0,5.641792164,1.581041472,0
114,7997.134824,30464.88794,202534.4563,701.7820525,3741.321412,4159.59139,66513.90816,417.6011379,21144.0766,3461.390703,0,16.69518161,0,19.24450503,11.31364659,27.15553311,557.375717,17.67539794,5.499782883,100.5234596,21.28765498,126.6879826,36.77159073,4.322411322,1.481674546,0
118,8878.351843,29776.30104,210384.4227,767.6473431,3283.911556,6394.063883,67456.56341,298.4122932,15972.57103,2898.626967,0,20.06400775,0,12.85640094,10.11605377,31.50766753,467.8526532,24.27485045,2.078782122,156.2449009,20.68534306,307.2938844,32.72748277,6.691310462,2.001158397,1.154627894
127,11148.73558,36084.45787,166690.1944,993.414711,3656.931995,6736.957487,84557.75067,421.3385866,22487.35895,4054.807526,0,30.66494492,0,21.29603811,13.99358533,38.88363906,516.5661094,27.22534161,4.755438012,197.7230219,28.05596754,287.3265848,55.35059238,7.491264195,3.430691657,1.805725186
130,10109.12461,30854.19794,162601.6928,948.9316388,4284.918126,6090.98252,90561.85218,352.6657493,19274.25753,3681.469124,0,26.0485531,0,17.61564975,11.15500501,33.27164625,565.0270113,25.14254524,3.613667019,230.308063,23.99205317,295.7428409,33.2632586,7.184063772,3.719936569,0
138,11084.37886,33633.76337,162139.3041,1024.329775,4500.001404,6274.908541,89507.25603,352.1934816,21028.18766,3803.170528,0,33.08563691,0,21.74193475,13.43195363,37.32509761,532.4934714,28.09998062,3.124875837,188.8671867,31.97189556,298.3439325,45.90594331,7.018421576,3.563409185,2.079256732
147,11518.91743,32416.52458,162794.7982,1161.732804,3987.910617,6797.46793,96622.21933,354.4494017,20023.10033,3424.288627,0,35.56378843,0,21.68832748,14.29555372,39.1024991,509.7259125,27.48275007,4.014066767,207.2740357,27.63539487,306.6289429,43.70249595,7.628720852,3.528936447,1.806996898
150,10998.89332,32300.97079,147853.3125,1120.262723,4246.021347,6809.030621,96506.06096,334.6256959,21787.72191,3685.167186,0,31.33526008,6.73373667,22.25140593,13.55705138,42.55794491,524.4474762,28.34719542,4.364552421,205.1328658,31.8896461,292.2947624,48.16972611,8.250952696,2.399281067,1.104099095
160,11123.23704,35848.1241,160251.9728,535.2843827,4056.447044,7475.936715,88519.41597,344.3198043,22565.65264,4136.387972,14.76235957,47.26067605,0,23.94312886,14.51276422,41.15522239,468.7291946,29.03034483,3.707214073,220.662337,17.97690689,326.4007934,54.54058454,6.480107159,3.553459538,1.801273288
170,13642.24939,39423.09305,139196.7459,1407.631434,4445.703975,12116.42018,109281.0736,486.0855463,30803.22837,3537.388983,31.84553373,52.10446654,13.41595114,40.46154284,23.94270277,76.51279441,445.027299,45.84613992,3.588923594,127.3552205,30.21080303,306.6716465,78.43263917,11.63748268,5.545420021,3.41219196
180,7692.370127,21410.22058,245686.6337,649.3054341,3623.363947,5423.918955,61642.49156,150.828798,7826.471117,1953.307685,0,11.71992664,0,4.984824784,4.727854474,16.09774741,483.9154424,18.79067779,1.555836354,135.9613378,18.52661985,306.0207257,40.88536317,5.525638939,2.206783726,0.884470739
194,8263.323991,22076.29432,215878.6095,807.1573236,4100.029817,5508.616386,74523.7424,177.2799378,9077.835422,2378.156574,0,14.47389212,0,7.3981818,5.821013377,18.28301179,530.313627,19.40922076,1.196106202,188.7029866,17.26249858,298.8623489,31.10733806,5.771514257,1.85494482,1.412151368
200,6858.026601,17885.976,248902.4687,651.3408887,3929.108414,5322.230705,66395.6013,143.3267063,6223.910789,2268.488806,0,14.26296406,0,3.505291251,3.791078733,13.35700917,546.7917762,16.60833507,1.025162512,157.5918619,17.86057609,265.4847715,45.5131351,5.197140647,1.973952354,1.022172563
210,8571.661693,21270.30549,225090.0084,607.7211183,4091.724155,4425.189955,67051.47794,168.3328621,8378.733066,3207.723104,0,29.39520362,0,5.751354947,5.260087709,16.36206507,533.4712348,19.19050633,0.662528211,169.3131878,21.2626371,289.8872438,47.26699148,6.104928868,1.848848512,0
217,7168.513122,17506.41991,243472.5115,653.9701806,3468.110834,4841.165726,68965.11684,144.0373673,6199.669044,2298.087428,0,18.59481115,0,1.970507507,3.417927279,13.56237232,562.3774787,16.44354716,1.135650348,168.5299322,14.72252096,269.1555997,33.38639612,5.033709652,1.50184748,0
229,9681.098446,23645.87619,200574.5637,922.1523427,3656.79137,5395.581297,83471.23863,211.1856293,10593.20387,2965.263962,0,18.5857702,0,7.750694033,7.622501969,22.66413465,547.1951625,19.77896376,2.759812318,260.8105854,21.71745212,286.4155425,42.02912982,6.485732521,1.02051998,0
234,11538.52959,29017.35884,154153.5788,1130.557973,3623.012875,6272.452726,98027.30647,313.1988362,15103.61483,3191.862264,0,22.53295115,0,15.67403051,10.83706717,34.19894265,538.5356168,25.09079157,1.887412127,175.9271723,24.89113422,311.1575452,41.15682956,7.072147496,2.84731454,1.114719794
